first_name,last_name,company_name,address,city,county,postal,phone1,phone2,email,web,full_name,email_domain,city_lenght,is_gmail
Evan,Zigomalas,Cap Gemini America,5 Binney St,Abbey Ward,Buckinghamshire,HP11 2AX,01937864715,01714737668,evan.zigomalas@gmail.com,http://www.capgeminiamerica.co.uk,EvanZigomalas,gmail.com,10,True
Charlesetta,Erm,"Cain, John M Esq",5 Hygeia St,Loundsley Green Ward,Derbyshire,S40 4LY,01276816806,01517624517,charlesetta_erm@gmail.com,http://www.cainjohnmesq.co.uk,CharlesettaErm,gmail.com,20,True
Corrinne,Jaret,Sound Vision Corp,2150 Morley St,Dee Ward,Dumfries and Galloway,DG8 7DE,01625932209,01642322954,corrinne_jaret@gmail.com,http://www.soundvisioncorp.co.uk,CorrinneJaret,gmail.com,8,True
Karma,Quarto,J C S Machinery,1 Birkett St,Shard End Ward,West Midlands,B33 0NH,01857864722,01307667811,kquarto@gmail.com,http://www.jcsmachinery.co.uk,KarmaQuarto,gmail.com,14,True
Milly,Savidge,Bridgeway Plan For Health,129 Alexander Pope St,Franche Ward,Hereford and Worcester,DY11 9BW,01702725589,01421132652,milly@gmail.com,http://www.bridgewayplanforhealth.co.uk,MillySavidge,gmail.com,12,True
Margurite,Loperfido,Penrose Place Pharmacy Inc,218 Greenbank Drive,Devizes,Wiltshire,SN10 3DU,01407866759,01640661191,mloperfido@gmail.com,http://www.penroseplacepharmacyinc.co.uk,MarguriteLoperfido,gmail.com,7,True
Melina,Orizabal,Sheraton Inn Ocean Front,3 Nevison St,Lymington and Pennington,Hampshire,SO41 1DL,01420307327,01245559333,melina@gmail.com,http://www.sheratoninnoceanfront.co.uk,MelinaOrizabal,gmail.com,24,True
Tina,Clapham,Cooper Myers Y Co,5662 William Moult St,Aylesbury,Buckinghamshire,HP21 8PP,01567296442,01493245349,tclapham@gmail.com,http://www.coopermyersyco.co.uk,TinaClapham,gmail.com,9,True
Luisa,Devereux,Cash 4 Checks,3 North View #35,Burmantofts and Richmond Hill,West Yorkshire,LS9 7JH,01607269930,01334807355,ldevereux@gmail.com,http://www.cashchecks.co.uk,LuisaDevereux,gmail.com,29,True
Alba,Mosseri,"Schwartzbard, Gail L Esq",4 Burnall St,Beeston West Ward,Nottinghamshire,NG9 1AE,01543198690,01231806535,alba@gmail.com,http://www.schwartzbardgaillesq.co.uk,AlbaMosseri,gmail.com,17,True
Dustin,Klingaman,Welders Supply,67 Micawber St,Brockley Ward,Greater London,SE14 6RQ,01712135466,01523775781,dklingaman@gmail.com,http://www.welderssupply.co.uk,DustinKlingaman,gmail.com,13,True
Margarett,Bairo,"Reid, Carleton B Esq",3 August Rd,Maybury and Sheerwater Ward,Surrey,GU21 5QL,01670813697,01903424890,margarett@gmail.com,http://www.reidcarletonbesq.co.uk,MargarettBairo,gmail.com,27,True
Sol,Cowser,Omni Mandalay,6448 Tillard St,Conisbrough and Denaby Ward,South Yorkshire,DN12 4JF,01412528394,01580134516,sol@gmail.com,http://www.omnimandalay.co.uk,SolCowser,gmail.com,27,True
Louann,Smethers,Lba Savings Bank,3055 Creswick St,Newbold and Brownsover Ward,Warwickshire,CV21 1LN,01670234959,01488872531,louann@gmail.com,http://www.lbasavingsbank.co.uk,LouannSmethers,gmail.com,27,True
Malika,Hanton,Association Of Art Museum Dir,1175 Greig St,St. Marys Ward,Greater Manchester,M25 0ZN,01532497454,01705208145,malika@gmail.com,http://www.associationofartmuseumdir.co.uk,MalikaHanton,gmail.com,14,True
Abraham,Cratch,"Cavuto, John A",41 Benedict St,Aldborough Ward,Greater London,IG2 7QG,01599245408,01695305111,acratch@gmail.com,http://www.cavutojohna.co.uk,AbrahamCratch,gmail.com,15,True
Juan,Vanwyhe,Office Service Co,5382 Redfern St,West End Ward,Greater London,W1J 0QH,01961642757,01728150282,juan_vanwyhe@gmail.com,http://www.officeserviceco.co.uk,JuanVanwyhe,gmail.com,13,True
Eva,Joulwan,Central Hrdwr & Elec Corp,7 Lear Rd,Stroud,Hampshire,GU32 3PQ,01779720349,01961802899,eva.joulwan@gmail.com,http://www.centralhrdwreleccorp.co.uk,EvaJoulwan,gmail.com,6,True
Jeannetta,Coolidge,Tiny Tots Originals Div,761 Cockerell St #1,Midway Ward,Derbyshire,DE11 0HE,01927790069,01440276155,jeannetta_coolidge@gmail.com,http://www.tinytotsoriginalsdiv.co.uk,JeannettaCoolidge,gmail.com,11,True
Malcom,Fleckles,L Winik & Associates Inc,8764 Nickleby St #877,Govan Ward,Glasgow City,G51 1BQ,01478110943,01937120539,malcom.fleckles@gmail.com,http://www.lwinikassociatesinc.co.uk,MalcomFleckles,gmail.com,10,True
Leota,Fletchen,Rust Evader Corp,8880 Great Howard St #7750,Sefton,Merseyside,L29 7WD,01358446391,01414780251,lfletchen@gmail.com,http://www.rustevadercorp.co.uk,LeotaFletchen,gmail.com,6,True
Berry,Gutoski,Budget Annex,9 Oakleigh,Lancing,West Sussex,BN15 9BN,01448211489,01929400879,berry@gmail.com,http://www.budgetannex.co.uk,BerryGutoski,gmail.com,7,True
Elsa,Delisle,Taos Valley Resort Assn,260 Saxon St,Brooklands Ward,Greater Manchester,M33 4BP,01537525550,01204471598,elsa_delisle@gmail.com,http://www.taosvalleyresortassn.co.uk,ElsaDelisle,gmail.com,15,True
Graham,Stanwick,Tiburon Pen Chmbr Commrce Inc,73 Hawkstone St,Renfrew South & Gallowhill War,Dunbartonshire,G52 4YG,01860191930,01409786106,gstanwick@gmail.com,http://www.tiburonpenchmbrcommrceinc.co.uk,GrahamStanwick,gmail.com,30,True
Lisbeth,Creecy,"Gerstenfeld, Gerald F Esq",484 Barry St,Shiney Row Ward,County Durham,DH4 7RG,01931620849,01825623398,lcreecy@gmail.com,http://www.gerstenfeldgeraldfesq.co.uk,LisbethCreecy,gmail.com,15,True
Alyssa,Ansbro,"Berg, Michael D Esq",85 Hero St,Stanhope,County Durham,DL13 2TZ,01632887825,01585967862,alyssa_ansbro@gmail.com,http://www.bergmichaeldesq.co.uk,AlyssaAnsbro,gmail.com,8,True
Kyoko,Mcmillian,Nature Conservancy,77 Reading St #8,North Tawton,Devon,EX20 2TR,01235173362,01371735347,kyoko_mcmillian@gmail.com,http://www.natureconservancy.co.uk,KyokoMcmillian,gmail.com,12,True
Lashawn,Ker,"Thornsjo, Dale O Esq",13 Nelson Rd,Filwood Ward,Bristol,BS4 1HT,01676780022,01470187069,lashawn.ker@gmail.com,http://www.thornsjodaleoesq.co.uk,LashawnKer,gmail.com,12,True
Whitney,Tishler,Clifford Standifer & Mcdowell,77 Mason St #650,Smallbridge and Firgrove Ward,Greater Manchester,OL16 3AW,01224605237,01948891701,whitney@gmail.com,http://www.cliffordstandifermcdowell.co.uk,WhitneyTishler,gmail.com,29,True
Frankie,Marruffo,Paralegal Personnel,52 Morningside Rd #1,Cilybebyll Community,Neath Port Talbot,SA8 3HE,01295678319,01966999493,fmarruffo@gmail.com,http://www.paralegalpersonnel.co.uk,FrankieMarruffo,gmail.com,20,True
Paola,Dease,Sunderland Publishing Co,94 Enid St,Birchington,Kent,CT7 9BG,01333642646,01419231768,pdease@gmail.com,http://www.sunderlandpublishingco.co.uk,PaolaDease,gmail.com,11,True
Luther,Alsman,Crossroads Travel Service Inc,227 Albert Terrace,Belvedere Ward,Greater London,DA17 6EF,01536639256,01494500403,luther@gmail.com,http://www.crossroadstravelserviceinc.co.uk,LutherAlsman,gmail.com,14,True
Melissia,Slotemaker,Twining Nemia & Steflik,83 St Johns Lane #43,Linlithgow Ward,West Lothian,EH49 7LS,01515360513,01936295031,mslotemaker@gmail.com,http://www.twiningnemiasteflik.co.uk,MelissiaSlotemaker,gmail.com,15,True
Odette,Moussette,Village Business Center,216 Lissant St #8,Great Dunmow,Essex,CM6 1DQ,01712248851,01626260974,odette_moussette@gmail.com,http://www.villagebusinesscenter.co.uk,OdetteMoussette,gmail.com,12,True
Hobert,Panfilov,"Carlin, Angela G Esq",92 Phythian St #614,Gweek,Cornwall,TR11 5RR,01245353227,01518554407,hobert@gmail.com,http://www.carlinangelagesq.co.uk,HobertPanfilov,gmail.com,5,True
Desire,Barresi,Greater Cinc Schl Empl Crdt Un,428 Kearsley St,Hatton,Warwickshire,CV35 7UA,01819701096,01970482055,desire@gmail.com,http://www.greatercincschlemplcrdtun.co.uk,DesireBarresi,gmail.com,6,True
Nathan,Outhouse,Grt Amercn Fed Svngs & Ln Assn,293 Vivian St,South Jesmond Ward,Tyne and Wear,NE2 1EY,01555702650,01364499130,nathan.outhouse@gmail.com,http://www.grtamercnfedsvngslnassn.co.uk,NathanOuthouse,gmail.com,18,True
Julie,Sakshaug,Newton Clerk,5 Shakspeare St #66,St. Johns Ward,Hereford and Worcester,B61 8HD,01225180983,01641570473,julie@gmail.com,http://www.newtonclerk.co.uk,JulieSakshaug,gmail.com,14,True
