first_name,last_name,company_name,address,city,county,postal,phone1,phone2,email,web,full_name,email_domain,city_lenght,is_gmail
Aleshia,Tomkiewicz,Alan D Rosenburg Cpa Pc,14 Taylor St,St. Stephens Ward,Kent,CT2 7PP,01835703597,01944369967,atomkiewicz@hotmail.com,http://www.alandrosenburgcpapc.co.uk,AleshiaTomkiewicz,hotmail.com,17,False
Evan,Zigomalas,Cap Gemini America,5 Binney St,Abbey Ward,Buckinghamshire,HP11 2AX,01937864715,01714737668,evan.zigomalas@gmail.com,http://www.capgeminiamerica.co.uk,EvanZigomalas,gmail.com,10,True
France,Andrade,"Elliott, John W Esq",8 Moor Place,East Southbourne and Tuckton W,Bournemouth,BH6 3BE,01347368222,01935821636,france.andrade@hotmail.com,http://www.elliottjohnwesq.co.uk,FranceAndrade,hotmail.com,30,False
Ulysses,Mcwalters,"Mcmahan, Ben L",505 Exeter Rd,Hawerby cum Beesby,Lincolnshire,DN36 5RP,01912771311,01302601380,ulysses@hotmail.com,http://www.mcmahanbenl.co.uk,UlyssesMcwalters,hotmail.com,18,False
Tyisha,Veness,Champagne Room,5396 Forth Street,Greets Green and Lyng Ward,West Midlands,B70 9DT,01547429341,01290367248,tyisha.veness@hotmail.com,http://www.champagneroom.co.uk,TyishaVeness,hotmail.com,26,False
Eric,Rampy,"Thompson, Michael C Esq",9472 Lind St,Desborough,Northamptonshire,NN14 2GH,01969886290,01545817375,erampy@rampy.co.uk,http://www.thompsonmichaelcesq.co.uk,EricRampy,rampy.co.uk,10,False
Marg,Grasmick,Wrangle Hill Auto Auct & Slvg,7457 Cowl St #70,Bargate Ward,Southampton,SO14 3TY,01865582516,01362620532,marg@hotmail.com,http://www.wranglehillautoauctslvg.co.uk,MargGrasmick,hotmail.com,12,False
Laquita,Hisaw,In Communications Inc,20 Gloucester Pl #96,Chirton Ward,Tyne & Wear,NE29 7AD,01746394243,01590982428,laquita@yahoo.com,http://www.incommunicationsinc.co.uk,LaquitaHisaw,yahoo.com,12,False
Lura,Manzella,Bizerba Usa Inc,929 Augustine St,Staple Hill Ward,South Gloucestershire,BS16 4LL,01907538509,01340713951,lura@hotmail.com,http://www.bizerbausainc.co.uk,LuraManzella,hotmail.com,16,False
Yuette,Klapec,Max Video,45 Bradfield St #166,Parwich,Derbyshire,DE6 1QN,01903649460,01933512513,yuette.klapec@klapec.co.uk,http://www.maxvideo.co.uk,YuetteKlapec,klapec.co.uk,7,False
Fernanda,Writer,K & R Associates Inc,620 Northampton St,Wilmington,Kent,DA2 7PP,01630202053,01687879391,fernanda@writer.co.uk,http://www.krassociatesinc.co.uk,FernandaWriter,writer.co.uk,10,False
Charlesetta,Erm,"Cain, John M Esq",5 Hygeia St,Loundsley Green Ward,Derbyshire,S40 4LY,01276816806,01517624517,charlesetta_erm@gmail.com,http://www.cainjohnmesq.co.uk,CharlesettaErm,gmail.com,20,True
Corrinne,Jaret,Sound Vision Corp,2150 Morley St,Dee Ward,Dumfries and Galloway,DG8 7DE,01625932209,01642322954,corrinne_jaret@gmail.com,http://www.soundvisioncorp.co.uk,CorrinneJaret,gmail.com,8,True
Niesha,Bruch,Rowley/hansell Petetin,24 Bolton St,"Broxburn, Uphall and Winchburg",West Lothian,EH52 5TL,01874856950,01342793603,niesha.bruch@yahoo.com,http://www.rowleyhansellpetetin.co.uk,NieshaBruch,yahoo.com,30,False
Rueben,Gastellum,Industrial Engineering Assocs,4 Forrest St,Weston-Super-Mare,North Somerset,BS23 3HG,01976755279,01956535511,rueben_gastellum@gastellum.co.uk,http://www.industrialengineeringassocs.co.uk,RuebenGastellum,gastellum.co.uk,17,False
Michell,Throssell,Weiss Spirt & Guyer,89 Noon St,Carbrooke,Norfolk,IP25 6JQ,01967580851,01672496478,mthrossell@throssell.co.uk,http://www.weissspirtguyer.co.uk,MichellThrossell,throssell.co.uk,9,False
